"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL HOMELESS STUDENTS","SUM_HOMELESS","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901044,"KEALING M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,1224,569,349,68,0,64,326,1224,257,0,-9999999,100,-9999999,50
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901045,"LAMAR M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,1015,144,633,75,0,66,252,9,315,0,0,103,11,86
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901046,"BURNET M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,1040,39,727,612,0,608,939,1040,874,0,-9999999,150,21,73
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901047,"O HENRY MIDDLE","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,867,83,267,74,0,72,230,-9999999,291,5,-9999999,86,-9999999,81
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901051,"MARTIN MIDDLE","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,432,39,271,139,0,137,408,432,345,0,0,86,13,64
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901052,"MURCHISON MIDDLE","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,1328,148,687,116,0,114,296,0,440,0,0,95,0,74
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901053,"WEBB M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,677,31,331,410,-9999999,404,631,677,553,0,0,130,10,51
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901054,"BEDICHEK MIDDLE","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,883,52,520,249,0,243,725,883,614,8,-9999999,167,18,103
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901055,"DOBIE MIDDLE","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,598,28,201,321,0,319,540,598,503,0,0,108,21,43
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901057,"COVINGTON MIDDLE","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,615,43,288,104,0,102,386,7,344,7,-9999999,107,9,83
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901058,"MENDEZ M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,711,20,391,319,0,316,660,711,597,0,0,105,16,69
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901059,"BAILEY M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,899,63,421,44,0,38,272,8,302,0,0,108,9,74
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901060,"SMALL M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,1179,166,731,117,0,115,322,5,425,0,0,136,6,99
"COUNTY","CAMPUS","2016-2017",227901,"AUSTIN ISD",227901061,"PAREDES M S","MIDDLE SCHOOL",227,"TRAVIS COUNTY",13,957,65,338,231,0,226,698,957,604,-9999999,-9999999,119,21,65
