PEIMS DATA FOR SCHOOL YEAR 2016-2017
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  4",69
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Grade  5",53
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Kindergarten",93
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  1",129
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  2",139
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  3",161
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  4",140
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLAZIER EL",227901185,"ELEMENTARY","Grade  5",149
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Early Education",-9999999
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Pre-kindergarten",73
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Kindergarten",74
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  1",88
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  2",84
"2016-2017",13,"TRAVIS COUNTY","MANOR ISD",227907,"BLUEBONNET TRAIL EL",227907102,"ELEMENTARY","Grade  3",83
