PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"White",269
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Black or African American",103
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Asian",20
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Hispanic",932
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Two or More Races",16
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"White",46
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Black or African American",141
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Hispanic",156
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Two or More Races",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"White",10
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Black or African American",38
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Asian",16
