,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
67,2015-2016,AUSTIN ISD,Sanchez Elementary School,407,384,407,355,Elementary,100.0
68,2015-2016,AUSTIN ISD,Pease Elementary School,267,41,0,67,Elementary,0.0
69,2015-2016,AUSTIN ISD,Pecan Springs Elementary School,464,447,464,359,Elementary,100.0
70,2015-2016,AUSTIN ISD,Pleasant Hill Elementary School,566,495,566,386,Elementary,100.0
71,2015-2016,AUSTIN ISD,Read Pre-K Center,304,278,0,229,Other,0.0
72,2015-2016,AUSTIN ISD,Reilly Elementary School,274,249,274,224,Elementary,100.0
73,2015-2016,AUSTIN ISD,Ridgetop Elementary School,292,123,292,169,Elementary,100.0
74,2015-2016,AUSTIN ISD,St Elementary Schoolmo Elementary School,307,262,307,206,Elementary,100.0
75,2015-2016,AUSTIN ISD,Summitt Elementary School,815,301,2,430,Elementary,0.24539877300613497
76,2015-2016,AUSTIN ISD,Sims Elementary School,267,251,267,187,Elementary,100.0
77,2015-2016,AUSTIN ISD,Travis Hts Elementary School,522,348,522,337,Elementary,100.0
78,2015-2016,AUSTIN ISD,Walnut Creek Elementary School,634,562,634,550,Elementary,100.0
79,2015-2016,AUSTIN ISD,Patton Elementary School,973,233,2,411,Elementary,0.20554984583761562
80,2015-2016,AUSTIN ISD,Wooten Elementary School,613,572,613,546,Elementary,100.0
81,2015-2016,AUSTIN ISD,Zavala Elementary School,382,371,382,265,Elementary,100.0
82,2015-2016,AUSTIN ISD,Zilker Elementary School,538,111,2,158,Elementary,0.37174721189591076
83,2015-2016,AUSTIN ISD,Menchaca Elementary School,719,340,719,276,Elementary,100.0
84,2015-2016,AUSTIN ISD,Oak Hill Elementary School,841,332,841,426,Elementary,100.0
85,2015-2016,AUSTIN ISD,Barrington Elementary School,627,594,627,527,Elementary,100.0
86,2015-2016,AUSTIN ISD,Norman Elementary School,319,309,319,205,Elementary,100.0
87,2015-2016,AUSTIN ISD,Pillow Elementary School,518,392,518,332,Elementary,100.0
88,2015-2016,AUSTIN ISD,Wooldridge Elementary School,630,603,630,563,Elementary,100.0
89,2015-2016,AUSTIN ISD,Doss Elementary School,884,144,0,247,Elementary,0.0
90,2015-2016,AUSTIN ISD,Hill Elementary School,970,95,2,245,Elementary,0.20618556701030927
91,2015-2016,AUSTIN ISD,Odom Elementary School,542,496,542,370,Elementary,100.0
92,2015-2016,AUSTIN ISD,Winn Elementary School,304,295,304,243,Elementary,100.0
93,2015-2016,AUSTIN ISD,Sunset Valley Elementary School,531,328,531,319,Elementary,100.0
94,2015-2016,AUSTIN ISD,Graham Elementary School,697,609,697,526,Elementary,100.0
95,2015-2016,AUSTIN ISD,Linder Elementary School,364,326,364,292,Elementary,100.0
96,2015-2016,AUSTIN ISD,Cook Elementary School,553,537,553,473,Elementary,100.0
97,2015-2016,AUSTIN ISD,Houston Elementary School,705,671,705,557,Elementary,100.0
98,2015-2016,AUSTIN ISD,Hart Elementary School,692,668,692,638,Elementary,100.0
99,2015-2016,AUSTIN ISD,Pickle Elementary School,695,669,695,630,Elementary,100.0
