"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","GRADEGRP1X","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL HOMELESS STUDENTS","TOTAL DYSLEXIC STUDENTS"
"2016-2017","OVERTON EL",227901189,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",667,12,0,426,398,26,566,667,543,0,0,49,7,30
"2016-2017","PEREZ EL",227901190,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",723,28,0,394,451,19,590,723,506,-9999999,0,96,6,29
"2016-2017","DOBIE PK CENTER",227901192,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",208,0,0,153,133,20,190,-9999999,154,-9999999,-9999999,25,-9999999,0
"2016-2017","WEBB PRI CENTER",227901193,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",262,-9999999,0,213,178,34,252,262,237,0,0,20,9,13
"2016-2017","AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",78,0,0,-9999999,0,-9999999,73,0,5,0,-9999999,-9999999,0,0
"2016-2017","ALTERNATIVE LEARNING CENTER",227901012,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",107,-9999999,0,27,0,26,74,-9999999,107,0,-9999999,27,8,14
"2016-2017","TRAVIS COUNTY DAY SCHOOL",227901027,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",11,0,0,5,0,5,6,0,11,0,0,-9999999,0,-9999999
"2016-2017","RICHARDS SCH FOR YOUNG WOMEN LEADE",227901028,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",785,246,785,45,0,43,436,8,127,-9999999,-9999999,6,9,16
"2016-2017","TRAVIS COUNTY JUVENILE DETENTION C",227901030,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",44,0,0,12,0,11,23,0,44,0,0,11,0,-9999999
"2016-2017","PHOENIX ACADEMY",227901032,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",34,0,0,-9999999,0,-9999999,5,0,34,0,0,5,0,0
"2016-2017","LEADERSHIP ACADEMY",227901035,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",40,0,6,13,0,11,24,0,40,0,0,13,0,7
"2016-2017","TRAVIS COUNTY J J A E P",227901036,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",5,0,-9999999,-9999999,0,-9999999,-9999999,0,5,0,0,0,0,0
"2016-2017","DELL CHILDREN'S MEDICAL CENTER",227901249,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",-9999999,0,0,0,0,0,0,0,-9999999,0,0,-9999999,0,0
"2016-2017","AUSTIN ST HOSPITAL",227901250,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",23,0,0,-9999999,0,-9999999,0,0,23,-9999999,-9999999,12,0,0
"2016-2017","ROSEDALE",227901251,"AUSTIN ISD",227901,"ELEMENTARY / SECONDARY",13,227,"TRAVIS COUNTY",210,0,0,23,6,14,77,0,122,0,0,199,0,5
"2016-2017","AUSTIN H S",227901002,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",2145,231,1253,73,0,70,598,10,831,0,0,196,11,181
"2016-2017","LANIER H S",227901004,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",1659,61,1093,626,0,618,1391,1659,1310,0,7,217,23,125
"2016-2017","MCCALLUM H S",227901005,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",1759,328,933,70,0,66,468,26,707,-9999999,0,170,27,118
"2016-2017","REAGAN H S",227901006,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",1255,87,978,432,-9999999,423,1019,1255,950,0,6,166,31,92
"2016-2017","TRAVIS H S",227901007,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",1332,88,966,336,0,323,1029,1332,1017,0,-9999999,222,31,167
"2016-2017","CROCKETT H S",227901008,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",1515,143,725,226,-9999999,219,940,31,951,-9999999,6,226,33,146
"2016-2017","ANDERSON H S",227901009,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",2217,188,1203,104,-9999999,99,501,11,714,18,-9999999,167,12,112
"2016-2017","BOWIE H S",227901013,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",2894,290,1953,52,0,44,345,11,715,23,-9999999,204,11,167
"2016-2017","LBJ HIGH SCHOOL",227901014,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",804,68,671,175,0,167,624,804,537,0,0,105,12,98
"2016-2017","GARZA INDEPENDENCE H S",227901015,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",205,11,33,13,0,13,69,11,171,0,0,20,12,9
"2016-2017","AKINS H S",227901017,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",2680,195,2260,329,-9999999,313,1673,29,1590,8,-9999999,318,30,198
"2016-2017","LASA H S",227901018,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",1111,549,720,0,0,0,78,0,24,0,0,9,0,17
"2016-2017","EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",553,23,337,160,0,157,471,553,451,-9999999,-9999999,112,16,85
"2016-2017","GRADUATION PREP ACADEMY TRAVIS",227901025,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",157,0,0,36,0,34,131,17,155,0,0,16,19,13
"2016-2017","GRADUATION PREP ACADEMY LANIER",227901026,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",122,0,0,42,0,42,91,7,121,0,0,12,10,7
"2016-2017","INTERNATIONAL H S",227901029,"AUSTIN ISD",227901,"HIGH SCHOOL",13,227,"TRAVIS COUNTY",261,0,69,216,0,216,250,18,220,0,0,0,18,0
"2016-2017","FULMORE M S",227901043,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",1024,266,322,280,0,273,632,1024,534,0,0,116,17,79
"2016-2017","KEALING M S",227901044,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",1224,569,349,68,0,64,326,1224,257,0,-9999999,100,-9999999,50
"2016-2017","LAMAR M S",227901045,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",1015,144,633,75,0,66,252,9,315,0,0,103,11,86
"2016-2017","BURNET M S",227901046,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",1040,39,727,612,0,608,939,1040,874,0,-9999999,150,21,73
"2016-2017","O HENRY MIDDLE",227901047,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",867,83,267,74,0,72,230,-9999999,291,5,-9999999,86,-9999999,81
"2016-2017","MARTIN MIDDLE",227901051,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",432,39,271,139,0,137,408,432,345,0,0,86,13,64
"2016-2017","MURCHISON MIDDLE",227901052,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",1328,148,687,116,0,114,296,0,440,0,0,95,0,74
"2016-2017","WEBB M S",227901053,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",677,31,331,410,-9999999,404,631,677,553,0,0,130,10,51
"2016-2017","BEDICHEK MIDDLE",227901054,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",883,52,520,249,0,243,725,883,614,8,-9999999,167,18,103
"2016-2017","DOBIE MIDDLE",227901055,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",598,28,201,321,0,319,540,598,503,0,0,108,21,43
"2016-2017","COVINGTON MIDDLE",227901057,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",615,43,288,104,0,102,386,7,344,7,-9999999,107,9,83
"2016-2017","MENDEZ M S",227901058,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",711,20,391,319,0,316,660,711,597,0,0,105,16,69
"2016-2017","BAILEY M S",227901059,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",899,63,421,44,0,38,272,8,302,0,0,108,9,74
"2016-2017","SMALL M S",227901060,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",1179,166,731,117,0,115,322,5,425,0,0,136,6,99
"2016-2017","PAREDES M S",227901061,"AUSTIN ISD",227901,"MIDDLE SCHOOL",13,227,"TRAVIS COUNTY",957,65,338,231,0,226,698,957,604,-9999999,-9999999,119,21,65
