"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901117,"GULLETT EL",227,"TRAVIS COUNTY",13,557,17,0,7,-9999999,6,43,-9999999,75,-9999999,0,43,12
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901118,"HARRIS EL",227,"TRAVIS COUNTY",13,667,-9999999,0,464,396,68,651,667,568,0,5,55,6
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901119,"HIGHLAND PARK EL",227,"TRAVIS COUNTY",13,640,93,0,6,0,5,37,0,98,0,-9999999,42,28
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901120,"JOSLIN EL",227,"TRAVIS COUNTY",13,289,14,0,111,96,15,236,289,167,0,0,39,13
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901121,"LEE EL",227,"TRAVIS COUNTY",13,390,16,0,16,0,15,68,-9999999,97,-9999999,0,35,9
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901122,"MAPLEWOOD EL",227,"TRAVIS COUNTY",13,417,23,0,38,59,7,192,8,125,0,0,42,9
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901123,"MATHEWS EL",227,"TRAVIS COUNTY",13,410,37,0,54,-9999999,47,156,73,131,-9999999,-9999999,29,17
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901124,"METZ EL",227,"TRAVIS COUNTY",13,360,10,0,175,149,25,324,360,260,0,0,42,16
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901125,"OAK SPRINGS EL",227,"TRAVIS COUNTY",13,306,9,0,79,67,12,303,306,170,-9999999,0,39,11
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901126,"ORTEGA EL",227,"TRAVIS COUNTY",13,326,12,0,115,103,9,308,326,192,-9999999,-9999999,31,8
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901127,"SANCHEZ EL",227,"TRAVIS COUNTY",13,436,12,0,314,291,21,418,436,363,0,0,40,-9999999
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901128,"PEASE EL",227,"TRAVIS COUNTY",13,257,25,0,-9999999,0,-9999999,49,-9999999,72,0,0,17,19
"COUNTY","CAMPUS","2014-2015",227901,"AUSTIN ISD",227901129,"PECAN SPRINGS EL",227,"TRAVIS COUNTY",13,452,15,0,205,194,10,439,452,336,0,-9999999,40,17
