PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Black or African American",90
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Asian",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Hispanic",190
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","Two or More Races",21
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLACKSHEAR EL",227901105,"ELEMENTARY","White",72
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Black or African American",58
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Asian",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Hispanic",351
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","Two or More Races",10
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BLANTON EL",227901106,"ELEMENTARY","White",95
