Texas Education Agency,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Enrollment Counts in Student Program and Special Populations Reports,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PEIMS Data 2012-2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SCOPE,AGG_LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL PRE-K MILITARY STUDENTS,TOTAL PRE-K FOSTER STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES
STATE,DISTRICT,2012-2013,20905,BRAZOSPORT ISD,4,12542,937,2489,992,614,298,7309,10454,4428,8,8,1151
STATE,DISTRICT,2012-2013,20906,SWEENY ISD,4,1919,133,775,36,0,36,939,1919,612,0,0,152
STATE,DISTRICT,2012-2013,20907,COLUMBIA-BRAZORIA ISD,4,3009,110,735,138,0,109,1579,2181,1293,-9999999,0,299
STATE,DISTRICT,2012-2013,20908,PEARLAND ISD,4,19650,1550,4240,1379,676,588,5357,4048,5012,6,7,1832
STATE,DISTRICT,2012-2013,20910,DAMON ISD,4,174,13,31,25,0,25,123,173,53,0,0,17
STATE,DISTRICT,2012-2013,21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,6,448,0,82,78,0,76,420,448,386,0,0,37
STATE,DISTRICT,2012-2013,21805,ARROW ACADEMY,6,867,0,0,114,0,114,678,321,390,0,0,34
STATE,DISTRICT,2012-2013,21901,COLLEGE STATION ISD,6,11178,1299,2528,746,608,413,4073,1930,2908,5,0,922
STATE,DISTRICT,2012-2013,21902,BRYAN ISD,6,15624,1791,3149,2994,2485,701,11437,9884,10152,0,0,1165
STATE,DISTRICT,2012-2013,22004,TERLINGUA CSD,18,98,6,5,35,0,35,76,98,50,0,0,8
STATE,DISTRICT,2012-2013,22901,ALPINE ISD,18,1093,76,280,87,0,81,575,1093,777,-9999999,0,100
STATE,DISTRICT,2012-2013,22902,MARATHON ISD,18,50,-9999999,17,0,0,0,45,50,-9999999,0,0,6
STATE,DISTRICT,2012-2013,22903,SAN VICENTE ISD,18,23,-9999999,0,-9999999,0,-9999999,8,0,-9999999,0,0,-9999999
STATE,DISTRICT,2012-2013,23902,SILVERTON ISD,16,195,13,63,18,0,18,113,195,52,0,0,20
STATE,DISTRICT,2012-2013,24901,BROOKS COUNTY ISD,2,1539,84,448,44,0,41,1295,1538,850,0,0,137
STATE,DISTRICT,2012-2013,25901,BANGS ISD,15,997,77,307,10,0,10,522,678,334,-9999999,-9999999,101
STATE,DISTRICT,2012-2013,25902,BROWNWOOD ISD,15,3535,239,1138,82,0,76,2272,3535,1320,-9999999,7,337
STATE,DISTRICT,2012-2013,25904,BLANKET ISD,15,241,11,59,-9999999,0,-9999999,152,241,84,-9999999,0,29
STATE,DISTRICT,2012-2013,25905,MAY ISD,15,265,24,69,10,0,10,148,141,62,0,-9999999,23
STATE,DISTRICT,2012-2013,25906,ZEPHYR ISD,15,214,6,70,-9999999,0,-9999999,163,214,43,0,0,18
STATE,DISTRICT,2012-2013,25908,BROOKESMITH ISD,15,203,7,31,-9999999,0,-9999999,119,203,72,0,0,24
STATE,DISTRICT,2012-2013,25909,EARLY ISD,15,1187,112,276,21,0,21,511,855,388,0,-9999999,128
STATE,DISTRICT,2012-2013,26901,CALDWELL ISD,6,1823,139,487,203,31,165,993,1296,696,-9999999,0,127
STATE,DISTRICT,2012-2013,26902,SOMERVILLE ISD,6,487,26,65,31,0,31,340,293,262,0,0,73
STATE,DISTRICT,2012-2013,26903,SNOOK ISD,6,527,49,101,15,0,16,376,527,257,0,-9999999,50
STATE,DISTRICT,2012-2013,27903,BURNET CISD,13,3214,123,813,215,58,155,1864,2303,1242,-9999999,0,315
STATE,DISTRICT,2012-2013,27904,MARBLE FALLS ISD,13,4045,300,954,528,331,206,2446,2890,1661,-9999999,0,434
STATE,DISTRICT,2012-2013,28902,LOCKHART ISD,13,4969,376,1400,565,335,140,3466,2507,2551,0,-9999999,585
STATE,DISTRICT,2012-2013,28903,LULING ISD,13,1414,98,243,174,73,101,969,1414,756,0,-9999999,142
STATE,DISTRICT,2012-2013,28906,PRAIRIE LEA ISD,13,211,23,30,-9999999,0,-9999999,164,211,49,-9999999,0,22
STATE,DISTRICT,2012-2013,29901,CALHOUN COUNTY ISD,3,4256,319,1065,366,143,214,2674,3114,1901,-9999999,-9999999,423
STATE,DISTRICT,2012-2013,30901,CROSS PLAINS ISD,14,347,33,88,9,0,9,215,204,158,0,0,26
STATE,DISTRICT,2012-2013,30902,CLYDE CISD,14,1420,72,411,8,0,11,697,1015,533,0,-9999999,121
STATE,DISTRICT,2012-2013,30903,BAIRD ISD,14,291,12,129,-9999999,0,-9999999,203,133,136,0,0,30
STATE,DISTRICT,2012-2013,30906,EULA ISD,14,378,12,72,0,0,0,201,262,128,0,0,44
STATE,DISTRICT,2012-2013,31803,HARMONY SCIENCE ACADEMY - BROWNSVI,1,438,20,0,75,0,72,346,438,106,0,0,8
STATE,DISTRICT,2012-2013,31901,BROWNSVILLE ISD,1,49190,4827,14164,14750,11155,3011,47181,49153,28961,6,-9999999,5040
STATE,DISTRICT,2012-2013,31903,HARLINGEN CISD,1,18509,1156,5487,2482,2108,423,14438,13308,9639,-9999999,0,1521
STATE,DISTRICT,2012-2013,31905,LA FERIA ISD,1,3712,201,826,510,392,57,3047,3710,1652,0,0,256
STATE,DISTRICT,2012-2013,31906,LOS FRESNOS CISD,1,10424,800,2289,2224,1671,312,7951,10424,4159,0,0,695
STATE,DISTRICT,2012-2013,31909,POINT ISABEL ISD,1,2642,155,812,834,621,143,2324,2642,1576,-9999999,0,242
STATE,DISTRICT,2012-2013,31911,RIO HONDO ISD,1,2213,115,649,329,219,64,1902,2204,1255,0,-9999999,161
STATE,DISTRICT,2012-2013,31912,SAN BENITO CISD,1,11171,424,2525,2591,1704,505,9366,11148,6229,-9999999,0,830
STATE,DISTRICT,2012-2013,31913,SANTA MARIA ISD,1,729,10,137,326,226,97,696,558,520,0,0,33
STATE,DISTRICT,2012-2013,31914,SANTA ROSA ISD,1,1176,47,425,166,113,29,1124,1175,729,0,0,102
STATE,DISTRICT,2012-2013,31916,SOUTH TEXAS ISD,1,3381,712,3053,60,0,78,1946,3381,739,0,0,49
STATE,DISTRICT,2012-2013,32902,PITTSBURG ISD,8,2520,98,756,392,98,286,1987,2520,1117,0,-9999999,261
STATE,DISTRICT,2012-2013,33901,GROOM ISD,16,137,15,40,-9999999,0,-9999999,48,137,31,0,0,9
STATE,DISTRICT,2012-2013,33902,PANHANDLE ISD,16,668,45,185,-9999999,0,-9999999,142,321,177,0,0,64
STATE,DISTRICT,2012-2013,33904,WHITE DEER ISD,16,390,26,118,0,0,0,178,390,83,0,0,28
STATE,DISTRICT,2012-2013,34901,ATLANTA ISD,8,1814,145,464,43,0,43,1175,1814,617,0,0,186
STATE,DISTRICT,2012-2013,34902,AVINGER ISD,8,118,7,49,0,0,0,99,118,35,0,0,12
STATE,DISTRICT,2012-2013,34903,HUGHES SPRINGS ISD,8,1192,55,332,44,0,41,687,1191,429,-9999999,0,87
STATE,DISTRICT,2012-2013,34905,LINDEN-KILDARE CISD,8,805,57,265,21,0,21,568,805,306,-9999999,0,82
STATE,DISTRICT,2012-2013,34906,MCLEOD ISD,8,412,12,111,0,0,0,179,412,168,0,0,40
STATE,DISTRICT,2012-2013,34907,QUEEN CITY ISD,8,1042,69,280,-9999999,0,-9999999,576,1042,394,0,0,91
STATE,DISTRICT,2012-2013,34909,BLOOMBURG ISD,8,263,10,69,-9999999,0,-9999999,155,263,129,0,0,25
STATE,DISTRICT,2012-2013,35901,DIMMITT ISD,16,1216,28,303,220,164,40,1066,1216,622,0,0,77
STATE,DISTRICT,2012-2013,35902,HART ISD,16,288,9,93,16,0,16,258,288,181,0,0,25
STATE,DISTRICT,2012-2013,35903,NAZARETH ISD,16,237,6,78,-9999999,0,5,51,237,34,0,0,21
STATE,DISTRICT,2012-2013,36901,ANAHUAC ISD,4,1209,99,250,107,0,106,668,877,474,0,0,113
STATE,DISTRICT,2012-2013,36902,BARBERS HILL ISD,4,4545,152,1100,126,87,32,1036,1258,1097,-9999999,5,278
STATE,DISTRICT,2012-2013,36903,EAST CHAMBERS ISD,5,1376,47,328,268,19,248,790,573,480,0,0,125
STATE,DISTRICT,2012-2013,37901,ALTO ISD,7,669,40,180,90,0,79,487,669,329,0,0,53
STATE,DISTRICT,2012-2013,37904,JACKSONVILLE ISD,7,4859,230,749,1118,683,408,3900,4852,3034,0,0,444
STATE,DISTRICT,2012-2013,37907,RUSK ISD,7,2226,121,501,113,0,113,1380,1633,917,0,-9999999,247
