PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Black or African American",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Asian",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Hispanic",221
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Two or More Races",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"White",8
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Black or African American",19
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Asian",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Hispanic",321
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Two or More Races",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"White",14
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Black or African American",7
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Asian",16
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Hispanic",83
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"Two or More Races",20
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRYKER WOODS EL",227901110,"White",273
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Black or African American",87
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Asian",23
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Hispanic",857
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"Two or More Races",14
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"White",39
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Black or African American",105
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Asian",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Hispanic",95
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"Two or More Races",7
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"White",13
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Black or African American",29
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Asian",16
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Hispanic",405
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"Two or More Races",26
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"White",130
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Black or African American",10
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"Asian",25
