Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",018903,"MORGAN ISD",12,117,-9999999,29,19,0,-9999999,112,117,78,0,-9999999,20
"STATE","DISTRICT","2013-2014",018904,"VALLEY MILLS ISD",12,620,20,124,41,0,41,346,619,173,5,-9999999,69
"STATE","DISTRICT","2013-2014",018905,"WALNUT SPRINGS ISD",12,174,19,65,30,0,30,151,174,123,0,0,19
"STATE","DISTRICT","2013-2014",018906,"IREDELL ISD",12,135,-9999999,63,-9999999,0,-9999999,70,135,71,0,0,13
"STATE","DISTRICT","2013-2014",018907,"KOPPERL ISD",12,224,-9999999,80,-9999999,0,-9999999,162,224,101,0,0,27
"STATE","DISTRICT","2013-2014",018908,"CRANFILLS GAP ISD",12,123,0,53,8,0,8,96,123,73,0,0,10
"STATE","DISTRICT","2013-2014",019901,"DEKALB ISD",08,823,42,224,49,0,42,536,605,296,0,0,94
"STATE","DISTRICT","2013-2014",019902,"HOOKS ISD",08,886,72,253,27,0,27,510,886,345,0,0,92
"STATE","DISTRICT","2013-2014",019903,"MAUD ISD",08,482,24,126,0,0,0,255,481,142,-9999999,0,56
"STATE","DISTRICT","2013-2014",019905,"NEW BOSTON ISD",08,1376,72,352,15,0,15,864,1376,637,0,0,179
"STATE","DISTRICT","2013-2014",019906,"REDWATER ISD",08,1130,101,430,-9999999,0,-9999999,457,587,367,-9999999,0,99
"STATE","DISTRICT","2013-2014",019907,"TEXARKANA ISD",08,7243,438,1733,380,212,168,4958,4742,3733,80,9,745
"STATE","DISTRICT","2013-2014",019908,"LIBERTY-EYLAU ISD",08,2672,158,733,41,0,40,1973,1193,1395,9,8,305
"STATE","DISTRICT","2013-2014",019909,"SIMMS ISD",08,516,21,201,0,0,0,285,516,246,0,-9999999,84
"STATE","DISTRICT","2013-2014",019910,"MALTA ISD",08,147,5,0,-9999999,0,-9999999,89,147,18,0,0,16
"STATE","DISTRICT","2013-2014",019911,"RED LICK ISD",08,484,52,0,-9999999,0,-9999999,35,91,82,0,0,25
"STATE","DISTRICT","2013-2014",019912,"PLEASANT GROVE ISD",08,2023,372,640,51,0,43,551,574,624,28,-9999999,156
"STATE","DISTRICT","2013-2014",019913,"HUBBARD ISD",08,96,0,12,8,0,8,55,96,22,0,0,13
"STATE","DISTRICT","2013-2014",019914,"LEARY ISD",08,110,-9999999,0,0,0,0,75,110,39,0,0,6
"STATE","DISTRICT","2013-2014",020901,"ALVIN ISD",04,19809,1784,4117,3141,1657,1440,9981,11084,9205,188,84,1873
"STATE","DISTRICT","2013-2014",020902,"ANGLETON ISD",04,6588,306,1390,575,680,156,3983,4674,3735,40,8,542
"STATE","DISTRICT","2013-2014",020904,"DANBURY ISD",04,774,59,224,39,0,39,222,414,306,0,-9999999,70
"STATE","DISTRICT","2013-2014",020905,"BRAZOSPORT ISD",04,12389,938,2542,998,609,310,7083,5590,5424,98,30,1072
"STATE","DISTRICT","2013-2014",020906,"SWEENY ISD",04,1886,117,783,44,0,44,922,1886,733,0,0,148
"STATE","DISTRICT","2013-2014",020907,"COLUMBIA-BRAZORIA ISD",04,3045,97,759,131,0,104,1622,1755,1450,15,0,260
