FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
319,36750,Redwater ISD,Redwater,19906,019-906,019906,4836750,5,233561115.919,119675.123888,336598418.242188,143706.400002911
320,36630,Red Lick ISD,Red Lick,19911,019-911,019911,4836630,4,25085677.1738,22122.1167933,36246631.4570313,26595.3489850994
321,35130,Pleasant Grove ISD,Pleasant Grove,19912,019-912,019912,4835130,2,147430649.14,84521.9343409,213265563.378906,101685.751166304
322,32340,New Boston ISD,New Boston,19905,019-905,019905,4832340,1,276402356.501,134377.749424,399272087.515625,161531.732025843
323,29460,Maud ISD,Maud,19903,019-903,019903,4829460,7,103819664.944,71057.799185,149552889.414063,85320.4357354958
324,28830,Malta ISD,Malta,19910,019-910,019910,4828830,3,43713704.7664,38215.798281,63198452.5039063,45977.6596508229
325,27390,Liberty-Eylau ISD,Liberty-Eylau,19908,019-908,019908,4827390,1,185581571.087,89618.7859256,267454522.875,107609.572012629
326,27060,Leary ISD,Leary,19914,019-914,019914,4827060,1,25353262.3123,22905.0917165,36635277.109375,27532.5129674653
327,23700,Hubbard ISD (Bowie),Hubbard (Bowie),19913,019-913,019913,4823700,6,46498959.732,38999.9235973,67160651.9921875,46872.0059209953
328,23490,Hooks ISD,Hooks,19902,019-902,019902,4823490,6,166444046.269,92465.6651496,240628107.398438,111220.040324949
329,16570,De Kalb ISD,De Kalb,19901,019-901,019901,4816570,4,674652274.062,254713.026957,975806762.386719,306463.265799406
330,11040,Boys Ranch ISD,Boys Ranch,180901,180-901,180901,4811040,6,1272250.38755,4542.87513981,1922388.9140625,5584.15532224602
331,43980,Vega ISD,Vega,180902,180-902,180902,4843980,7,1398663775.12,205669.063353,2104377463.62109,252281.106544306
332,07500,Adrian ISD,Adrian,180903,180-903,180903,4807500,6,1720403969.24,236699.646517,2582866256.47656,290207.407031082
333,22020,Guthrie CSD,Guthrie CSD,135001,135-001,135001,4822020,3,2249108185.05,198875.873181,3259133975.32813,239408.715270041
334,11220,Breckenridge ISD,Breckenridge,215901,215-901,215901,4811220,1,2084797675.35,237208.025695,2965746971.56641,283003.959833189
335,44370,Walcott ISD,Walcott,59902,059-902,059902,4844370,7,1221033212.4,165673.530316,1820681130.57031,202253.183806511
336,17790,Early ISD,Early,25909,025-909,025909,4817790,7,217014807.16,84457.1476219,302324971.964844,99712.2193321027
337,11700,Brownwood ISD,Brownwood,25902,025-902,025902,4811700,1,359944515.365,156409.223607,500530398.867188,184527.835647506
338,38900,San Felipe-Del Rio Cons ISD,San Felipe-Del Rio Cons,233901,233-901,233901,4838900,5,2359198175.47,346571.934601,3148594793.21484,401043.900153056
339,14920,Comstock ISD,Comstock,233903,233-903,233903,4814920,1,5954932174.28,443560.854745,7992545352.83203,513647.919328453
340,34500,Peaster ISD,Peaster,184908,184-908,184908,4834500,4,146522146.11,88459.7974741,209009517.855469,105654.176281705
341,20370,Garner ISD,Garner,184911,184-911,184911,4820370,6,131606955.593,76151.8957552,187635826.78125,90942.0886956087
342,32640,New Waverly ISD,New Waverly,236901,236-901,236901,4832640,1,267479546.083,84828.635712,363421785.183594,98823.4545185384
343,24030,Huntsville ISD,Huntsville,236902,236-902,236902,4824030,4,1540681384.77,236179.714272,2102015223.40625,275948.886980234
344,38310,Runge ISD,Runge,128903,128-903,128903,4838310,7,247454736.976,88340.3398439,324690651.410156,101224.169188167
345,25440,Kenedy ISD,Kenedy,128902,128-902,128902,4825440,1,345923389.632,143440.637747,453125301.46875,164109.477752867
346,41700,Strawn ISD,Strawn,182905,182-905,182905,4841700,4,278504956.503,99054.374328,395135740.75,118090.297580009
347,34140,Palo Pinto ISD,Palo Pinto,182906,182-906,182906,4834140,6,452167224.422,182730.951735,643789457.871094,218061.199206629
348,30950,Mineral Wells ISD,Mineral Wells,182903,182-903,182903,4830950,7,333632270.052,103924.779655,475484382.695313,124090.496750168
349,30870,Millsap ISD,Millsap,184904,184-904,184904,4830870,5,246299618.466,109193.688384,350324849.476563,130238.675304735
350,20790,Glasscock County ISD,Glasscock,87901,087-901,087901,4820790,3,2324197966.6,192857.500178,3245538158.21094,227900.558144249
351,42840,Timpson ISD,Timpson,210905,210-905,210905,4842840,2,406926548.377,135500.836361,568155385.726563,160097.235959733
352,18840,Excelsior ISD,Excelsior,210906,210-906,210906,4818840,4,70102874.1467,51670.9931824,97523942.8867188,60933.6262647043
353,13320,Center ISD,Center,210901,210-901,210901,4813320,6,530824524.313,161907.036812,739601022.371094,191114.839699096
354,36300,Quitman ISD,Quitman,250904,250-904,250904,4836300,1,392924957.511,130974.308283,559840401.964844,156365.227812351
355,30930,Mineola ISD,Mineola,250903,250-903,250903,4830930,6,236236690.478,108213.77551,335554399.554688,128960.316608179
356,22770,Hawkins ISD,Hawkins,250902,250-902,250902,4822770,5,271450610.576,103804.909578,385367503.9375,123709.851911879
357,36390,Ralls ISD,Ralls,54903,054-903,054903,4836390,6,784190552.158,193668.532246,1135894436.5,233131.619347856
358,00001,Crosbyton Cons ISD,Crosbyton Cons,54901,054-901,054901,4800001,3,1220588325.68,191989.307704,1768275443.64844,231164.602908846
359,45120,West Oso ISD,West Oso,178915,178-915,178915,4845120,4,114555851.373,57369.2326531,146889065.826172,64932.3587794491
360,37440,Robstown ISD,Robstown,178909,178-909,178909,4837440,5,210229760.446,65767.137281,269735545.630859,74511.1092471006
361,19380,Flour Bluff ISD,Flour Bluff,178914,178-914,178914,4819380,2,454055773.507,119730.209682,581489318.486328,135448.635716206
362,17550,Driscoll ISD,Driscoll,178905,178-905,178905,4817550,2,120485972.053,83674.2488773,154314074.050781,94631.7891371318
363,12420,Calallen ISD,Calallen,178903,178-903,178903,4812420,1,85150541.9419,63009.3562693,109459098.048828,71446.3573930648
364,10260,Bishop Cons ISD,Bishop Cons,178902,178-902,178902,4810260,3,438910530.447,149029.430886,561572032.09375,168429.940542645
365,09410,Banquete ISD,Banquete,178913,178-913,178913,4809410,6,322692576.538,115519.463846,414700897.488281,131024.768227225
