YEAR,CAMPUS NAME,CAMPUS NUMBER,DISTRICT NAME,DISTRICT NUMBER,GRADEGRP1X,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL ELL STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL HOMELESS STUDENTS,TOTAL DYSLEXIC STUDENTS
2017-2018,INTERNATIONAL H S,227901029,AUSTIN ISD,227901,HIGH SCHOOL,13,227,TRAVIS COUNTY,191,0,90,183,0,183,185,25,184,0,0,0,25,0
2017-2018,FULMORE M S,227901043,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,998,281,350,285,-9999999,279,641,998,530,-9999999,-9999999,129,20,76
2017-2018,KEALING M S,227901044,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,1223,590,381,77,0,72,381,1223,261,-9999999,-9999999,91,9,52
2017-2018,LAMAR M S,227901045,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,1130,193,680,66,0,58,234,12,351,0,0,109,12,112
2017-2018,BURNET M S,227901046,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,967,43,621,589,0,584,873,967,803,0,0,165,18,84
2017-2018,O HENRY MIDDLE,227901047,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,862,83,262,73,0,68,248,18,316,7,-9999999,85,19,86
2017-2018,MARTIN MIDDLE,227901051,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,450,42,283,162,0,160,419,450,366,0,0,99,17,62
2017-2018,MURCHISON MIDDLE,227901052,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,1392,158,605,112,0,110,298,10,464,9,0,119,10,105
2017-2018,WEBB M S,227901053,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,664,38,217,374,-9999999,369,623,664,542,0,0,116,8,57
2017-2018,BEDICHEK MIDDLE,227901054,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,846,67,493,221,0,219,718,846,571,0,-9999999,144,23,112
2017-2018,DOBIE MIDDLE,227901055,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,579,27,243,309,0,308,534,579,465,0,0,101,18,38
2017-2018,COVINGTON MIDDLE,227901057,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,660,46,380,110,0,109,389,165,368,6,0,115,10,90
2017-2018,MENDEZ M S,227901058,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,646,26,367,301,0,299,583,646,554,0,0,80,17,65
2017-2018,BAILEY M S,227901059,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,1006,86,452,58,0,51,316,9,404,12,-9999999,119,9,85
2017-2018,SMALL M S,227901060,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,1231,211,722,124,0,121,316,14,443,0,-9999999,133,15,105
2017-2018,PAREDES M S,227901061,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,892,68,399,237,-9999999,230,653,892,586,-9999999,-9999999,115,12,93
2017-2018,GORZYCKI MIDDLE,227901062,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,1275,203,705,32,0,31,60,5,205,13,0,133,5,147
2017-2018,GARCIA YMLA,227901064,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,390,31,232,190,0,185,357,390,323,0,0,64,12,39
2017-2018,SADLER MEANS YWLA,227901065,AUSTIN ISD,227901,MIDDLE SCHOOL,13,227,TRAVIS COUNTY,388,36,248,193,-9999999,190,359,388,309,0,-9999999,54,11,30
