"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"2014-2015","ODOM EL",227901156,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",546,16,0,234,216,12,499,546,352,0,-9999999,50,15
"2014-2015","WINN EL",227901157,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",338,9,0,199,192,7,328,338,261,0,-9999999,51,-9999999
"2014-2015","SUNSET VALLEY EL",227901158,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",518,25,0,199,347,10,339,123,300,-9999999,0,39,10
"2014-2015","GRAHAM EL",227901159,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",768,35,0,420,392,25,674,768,539,0,-9999999,69,16
"2014-2015","LINDER EL",227901160,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",412,20,0,221,180,39,396,412,314,0,0,43,12
"2014-2015","COOK EL",227901161,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",643,18,0,426,399,23,619,643,556,-9999999,0,51,13
"2014-2015","HOUSTON EL",227901162,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",765,15,0,413,391,19,743,765,563,-9999999,-9999999,47,20
"2014-2015","HART EL",227901163,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",717,18,0,561,457,98,695,717,638,0,-9999999,51,15
"2014-2015","PICKLE EL",227901164,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",746,7,0,564,547,13,725,746,670,0,-9999999,50,5
"2014-2015","MCBEE EL",227901165,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",531,6,0,386,358,26,507,531,451,0,0,57,17
"2014-2015","WILLIAMS EL",227901166,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",513,13,0,129,94,23,429,513,282,-9999999,6,80,18
"2014-2015","LANGFORD EL",227901168,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",741,12,0,471,441,28,701,741,587,-9999999,-9999999,62,35
"2014-2015","BOONE EL",227901170,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",499,32,0,33,14,19,219,5,114,0,-9999999,55,20
"2014-2015","PALM EL",227901171,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",516,18,0,223,202,18,430,516,327,-9999999,0,53,7
"2014-2015","KOCUREK EL",227901172,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",539,28,0,91,72,12,379,-9999999,258,6,5,64,11
"2014-2015","CASEY EL",227901173,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",665,16,0,113,186,20,451,127,287,0,-9999999,75,18
"2014-2015","RODRIGUEZ EL",227901174,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",793,18,0,475,448,17,772,793,633,-9999999,-9999999,47,14
"2014-2015","WIDEN EL",227901175,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",589,14,0,294,254,37,559,589,447,0,-9999999,71,15
"2014-2015","GALINDO EL",227901176,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",591,8,0,318,307,32,544,591,429,0,-9999999,90,34
"2014-2015","UPHAUS EARLY CHILDHOOD CENTER",227901177,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",236,0,0,141,126,13,225,236,168,0,0,29,0
"2014-2015","JORDAN EL",227901178,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",762,9,0,471,445,20,739,762,605,0,6,83,11
"2014-2015","DAVIS EL",227901179,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",739,69,0,110,24,80,176,-9999999,237,0,-9999999,55,11
"2014-2015","KIKER EL",227901180,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1022,107,0,85,0,79,31,0,211,-9999999,0,70,95
"2014-2015","MILLS EL",227901181,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",802,48,0,90,0,83,57,0,195,-9999999,-9999999,65,19
"2014-2015","BARANOFF EL",227901182,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",994,44,0,59,12,41,112,-9999999,249,14,-9999999,66,39
"2014-2015","COWAN EL",227901183,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",800,70,0,44,11,29,253,7,218,8,-9999999,66,16
"2014-2015","CLAYTON EL",227901184,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",881,106,0,58,0,56,27,0,140,-9999999,-9999999,70,14
"2014-2015","BLAZIER EL",227901185,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",967,27,0,355,377,47,738,967,580,-9999999,0,81,33
"2014-2015","GUERRERO THOMPSON",227901186,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",690,9,0,590,515,70,675,-9999999,615,0,0,50,10
"2014-2015","BALDWIN EL",227901187,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",742,62,0,76,35,41,85,0,176,-9999999,-9999999,67,14
"2014-2015","PADRON EL",227901188,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",693,9,0,533,492,37,676,224,603,0,-9999999,53,10
"2014-2015","OVERTON EL",227901189,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",650,11,0,365,335,25,623,650,503,0,-9999999,54,26
"2014-2015","PEREZ EL",227901190,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",804,36,0,400,537,6,739,804,579,-9999999,0,59,12
"2014-2015","DOBIE PK CENTER",227901192,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",256,0,0,195,187,8,252,0,196,-9999999,0,20,0
"2014-2015","WEBB PRI CENTER",227901193,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",249,-9999999,0,205,198,6,242,249,231,0,0,13,-9999999
"2014-2015","DELL CHILDREN'S MEDICAL CENTER",227901249,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",-9999999,0,0,0,0,0,0,0,-9999999,0,0,-9999999,0
"2014-2015","AUSTIN ST HOSPITAL",227901250,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",20,0,-9999999,0,0,0,0,0,20,0,0,12,0
"2014-2015","ROSEDALE",227901251,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",239,0,13,24,6,14,94,0,132,0,0,227,12

