PEIMS DATA FOR SCHOOL YEAR 2014-2015
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOONE EL",227901170,"Grade  5",69
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade  9",757
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade 10",720
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade 11",729
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BOWIE H S",227901013,"Grade 12",665
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Pre-kindergarten",30
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Kindergarten",107
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  1",121
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  2",86
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  3",94
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  4",76
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BRENTWOOD EL",227901107,"Grade  5",67
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Kindergarten",101
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  1",123
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  2",120
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  3",121
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  4",139
"2014-2015",13,"TRAVIS COUNTY","EANES ISD",227909,"BRIDGE POINT EL",227909106,"Grade  5",140
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Early Education",-9999999
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Pre-kindergarten",43
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Kindergarten",59
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  1",70
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  2",51
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  3",37
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  4",38
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROOKE EL",227901108,"Grade  5",47
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Early Education",5
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Pre-kindergarten",67
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Kindergarten",60
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Grade  1",67
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Grade  2",74
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Grade  3",70
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Grade  4",76
"2014-2015",13,"TRAVIS COUNTY","PFLUGERVILLE ISD",227904,"BROOKHOLLOW EL",227904108,"Grade  5",93
"2014-2015",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BROWN EL",227901109,"Early Education",12
